Product_URL,Product_Image_URL,Product_Tagging,Product_Name,Product_Description,Original_Price,Discount_Price,Sizes_Available,Vouchers,Available_Colors,Color_Shown,Style_Code,Rating_Score,Review_Count
https://www.nike.com/ph/t/swift-dri-fit-mid-layer-running-top-HZIEIjqg/IQ3754-751,https://static.nike.com/a/images/t_default/e71c136f-3117-407a-b6bc-e6c61ad1fd9f/AS+W+NK+SWIFT+DF+FZ+MDLYR+WOP2.png,"Bestseller, BEST_SELLER",Nike Swift,Women's Dri-FIT Full-Zip Mid-Layer Running Top,"PHP 4,195.00","PHP 2,937.00",,,1 Colour,Life Lime/Sea Glass/Platinum Violet,IQ3754-751,,
https://www.nike.com/ph/t/swift-dri-fit-mid-layer-running-top-HZIEIjqg/IQ3754-070,https://static.nike.com/a/images/t_default/b1ee5d75-9c75-46df-89c7-4fc874aa304e/AS+W+NK+SWIFT+DF+FZ+MDLYR+WOP2.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Nike Swift,Women's Dri-FIT Full-Zip Mid-Layer Running Top,"PHP 4,195.00","PHP 2,937.00",,,1 Colour,Dark Smoke Grey/Dark Smoke Grey/Light Smoke Grey,IQ3754-070,,
https://www.nike.com/ph/t/team-hustle-d-12-younger-shoes-jZj4M6/HF6280-103,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/cb963b7a-32a0-4682-ba5b-bd2eca6588ed/TEAM+HUSTLE+D+12+%28PS%29.png","Recycled Materials, SUSTAINABLE_MATERIALS",Nike Team Hustle D 12,Younger Kids' Shoes,"PHP 3,095.00","PHP 2,167.00",,,1 Colour,White/University Gold/Vivid Purple/White,HF6280-103,,
https://www.nike.com/ph/t/tour-dri-fit-golf-hoodie-GhS8wh/HM5821-010,https://static.nike.com/a/images/t_default/2055d9b7-9445-45aa-9afe-183ec7170b26/AS+M+NK+DF+TOUR+LTWT+HOODIE.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Nike Tour,Men's Dri-FIT Golf Hoodie,"PHP 3,895.00","PHP 2,337.00",,,1 Colour,Black/White,HM5821-010,,
https://www.nike.com/ph/t/tottenham-hotspur-2025-26-stadium-home-dri-fit-football-replica-shorts-xxs46l/HJ4683-424,https://static.nike.com/a/images/t_default/f7e2d339-4de3-44bb-85bb-bbb322570b99/THFC+M+NK+DF+SHORT+STAD+HM.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Tottenham Hotspur 2025/26 Stadium Home,Men's Nike Dri-FIT Football Replica Shorts,"PHP 1,995.00","PHP 1,397.00",,,1 Colour,Binary Blue/Light Iron Ore/White,HJ4683-424,,
https://www.nike.com/ph/t/sportswear-phoenix-fleece-oversized-logo-hoodie-hq4Me8Dt/IM9644-323,https://static.nike.com/a/images/t_default/1ac20e13-9c9f-42a0-9a36-ea80c254f501/AS+W+NSW+PHNX+FLC+OS+LOGO+HDY.png,"Bestseller, BEST_SELLER",Nike Sportswear Phoenix Fleece,Women's Oversized Logo Hoodie (Plus Size),"PHP 3,795.00","PHP 2,657.00",,,1 Colour,Fir/Malachite,IM9644-323,,
https://www.nike.com/ph/t/sportswear-phoenix-fleece-oversized-logo-hoodie-hq4Me8Dt/IM9644-010,https://static.nike.com/a/images/t_default/394167a4-ace7-433d-9d3d-4b39f454b2aa/AS+W+NSW+PHNX+FLC+OS+LOGO+HDY.png,"Bestseller, BEST_SELLER",Nike Sportswear Phoenix Fleece,Women's Oversized Logo Hoodie (Plus Size),"PHP 3,795.00","PHP 2,657.00",,,1 Colour,Black/Summit White,IM9644-010,,
https://www.nike.com/ph/t/shox-ride-2-shoes-1ieqItrN/IQ3369-101,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5db32807-8403-4292-a211-abdf5500e592/NIKE+SHOX+RIDE+2+PRM.png","Bestseller, BEST_SELLER",Nike Shox Ride 2 Premium,Men's Shoes,"PHP 10,295.00","PHP 6,692.00",,,1 Colour,Off-White/Baroque Brown/Light Chocolate/Off-White,IQ3369-101,,
https://www.nike.com/ph/t/pro-warm-tights-p9gxnN/FB7962-084,https://static.nike.com/a/images/t_default/073c05d9-b7fb-4817-a6b8-a04c0beebd2b/AS+M+NP+WARM+TGHT.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Nike Pro Warm,Men's Tights,"PHP 2,195.00","PHP 1,317.00",,,1 Colour,Smoke Grey/Black,FB7962-084,,
https://www.nike.com/ph/t/universa-high-waisted-7-8-leggings-with-no-front-seam-1EBkkild/HV2257-634,https://static.nike.com/a/images/t_default/fe4ead10-1327-41e4-a2d8-9a90e1dbcf52/AS+W+NK+DF+UNVRSA+HR+7%2F8+EMB.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Nike Universa,Women's High-Waisted 7/8 Leggings with No Front Seam,"PHP 4,495.00","PHP 2,248.00",,,1 Colour,Sweet Beet/Deep Garnet/Rush Maroon,HV2257-634,,
https://www.nike.com/ph/t/vini-jr-academy-older-dri-fit-football-shorts-VKXUF2Gt/IQ0267-417,https://static.nike.com/a/images/t_default/4262abfe-2701-4b5e-86b0-17384aad4e75/VJ+K+NK+DF+ACD25+SHORT+K+7IN.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Vini Jr. Academy,Older Kids' Nike Dri-FIT Football Shorts,"PHP 1,395.00",PHP 977.00,,,1 Colour,Midnight Navy/Pink Foam/Metallic Silver,IQ0267-417,,
https://www.nike.com/ph/t/everyday-essential-ankle-socks-8zdqfW/DX5074-010,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/aa54e1e8-2900-4ddd-a55e-e7ed3f885199/U+NK+NSW+EVERYDAY+ESSENTIAL+AN.png","Recycled Materials, SUSTAINABLE_MATERIALS",Nike Everyday Essential,Ankle Socks (3 Pairs),PHP 845.00,PHP 676.00,,,1 Colour,Black/White,DX5074-010,,
https://www.nike.com/ph/t/team-hustle-d-12-older-basketball-shoes-kDbJ6R/HF6279-103,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/04edb717-bdb2-404a-a4b6-8e64e4e5a61c/TEAM+HUSTLE+D+12+%28GS%29.png","Recycled Materials, SUSTAINABLE_MATERIALS",Nike Team Hustle D 12,Older Kids' Basketball Shoes,"PHP 3,395.00","PHP 2,207.00",,,1 Colour,White/University Gold/Vivid Purple/White,HF6279-103,5,
